Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Fwd IAT Mean,Bwd IAT Mean,FIN Flag Count,SYN Flag Count,RST Flag Count,ACK Flag Count,URG Flag Count,Average Packet Size,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Label
120000,8,7,560,480,120,70,100,68.5,8666.6,125.0,15000,17000,16000,0,0,0,1,0,69.3,560,480,8192,8192,4,20,BENIGN
95000,6,6,420,390,100,70,95,65.0,8526.3,126.3,14000,15000,14500,0,0,0,1,0,67.5,420,390,8192,8192,3,20,BENIGN
180000,10,9,760,690,140,76,130,76.6,8055.5,105.5,19000,21000,20000,0,0,0,1,0,76.3,760,690,8192,8192,5,20,BENIGN
4000,2,0,80,0,40,40,0,0,20000,500.0,4000,4000,0,0,1,0,0,0,40,80,0,1024,-1,1,20,PortScan
3500,2,0,76,0,38,38,0,0,21714,571.4,3500,3500,0,0,1,0,0,0,38,76,0,1024,-1,1,20,PortScan
4500,3,0,120,0,40,40,0,0,26666,666.6,2250,2250,0,0,1,0,0,0,40,120,0,1024,-1,2,20,PortScan
700000,120,110,180000,160000,1460,1500,1460,1454.5,485714,328.5,5800,5900,6000,0,0,0,1,0,1478,180000,160000,65535,65535,118,32,DDoS
690000,130,120,200000,185000,1460,1538,1460,1541.6,557971,362.3,5500,5600,5700,0,0,0,1,0,1540,200000,185000,65535,65535,128,32,DDoS
710000,125,115,190000,175000,1460,1520,1460,1521.7,514084,338.0,5700,5800,5900,0,0,0,1,0,1520,190000,175000,65535,65535,123,32,DDoS
250000,20,20,2400,2200,300,120,280,110,18400,160.0,12500,13000,12700,0,0,0,1,0,115,2400,2200,8192,8192,16,20,BENIGN
5200,3,0,120,0,40,40,0,0,23076,576.9,2600,2600,0,0,1,0,0,0,40,120,0,1024,-1,2,20,Attack
680000,118,108,175000,158000,1460,1483,1460,1462.9,489705,332.3,5762,5870,5980,0,0,0,1,0,1473,175000,158000,65535,65535,116,32,Attack
